onset_time,kick,snare,hihat,tom,crash,ride
45.685260770975056,False,True,True,False,False,False
46.03356009070295,True,False,True,False,False,False
46.19609977324263,True,False,False,False,False,False
46.34702947845805,False,True,True,False,False,False
46.68371882086168,True,False,True,False,False,False
47.008798185941046,False,True,True,False,False,False
47.368707482993194,True,False,True,False,False,False
47.53124716553288,True,False,False,False,False,False
47.6821768707483,False,True,True,False,False,False
48.01886621315193,True,False,True,False,False,False
48.16979591836735,True,False,False,False,False,False
48.34394557823129,False,True,True,False,False,False
48.68063492063492,True,False,True,False,False,False
48.87800453514739,True,False,False,False,False,False
49.02893424036281,False,True,True,False,False,False
49.24952380952381,False,True,False,False,False,False
49.342403628117914,True,False,False,False,True,False
49.679092970521545,False,True,True,False,False,False
50.01578231292517,True,False,True,False,False,False
50.18993197278912,True,False,False,False,False,False
50.3524716553288,False,True,True,False,False,False
50.68916099773243,True,False,True,False,False,False
51.00263038548753,False,True,True,False,False,False
51.35092970521542,True,False,True,False,False,False
51.525079365079364,True,False,False,False,False,False
51.687619047619044,False,True,True,False,False,False
52.03591836734694,True,False,True,False,False,False
52.34938775510204,False,True,True,False,False,False
52.674467120181404,True,False,True,False,False,False
52.848616780045354,True,False,False,False,False,False
53.011156462585035,False,True,True,False,False,False
53.347845804988665,True,False,True,False,False,False
53.510385487528346,True,False,False,False,False,False
53.67292517006803,False,True,True,False,False,False
54.02122448979592,True,False,True,False,False,False
54.1837641723356,True,False,False,False,False,False
54.34630385487528,False,True,True,False,False,False
54.68299319727891,True,False,True,False,False,False
54.84553287981859,False,True,True,False,False,False
55.193832199546485,True,False,True,False,False,False
55.33315192743764,False,True,True,False,False,False
55.68145124716553,False,False,True,False,False,False
55.86721088435374,True,False,False,False,False,False
56.006530612244894,False,True,False,False,False,False
56.401269841269844,False,False,True,False,False,False
56.66829931972789,False,True,False,False,False,False
56.86566893424036,False,False,False,True,False,False
57.01659863945578,False,False,False,True,False,False
57.19074829931973,True,False,False,False,True,False
57.53904761904762,True,False,False,False,False,False
57.67836734693878,False,True,True,False,False,False
58.026666666666664,True,False,True,False,False,False
58.18920634920635,True,False,False,False,False,False
58.34013605442177,False,True,True,False,False,False
58.525895691609975,True,False,False,False,True,False
58.862585034013605,True,False,False,False,False,False
59.013514739229024,False,True,True,False,False,False
59.350204081632654,True,False,True,False,False,False
59.53596371882086,True,False,False,False,False,False
59.65206349206349,False,True,True,False,False,False
59.86104308390023,True,False,False,False,True,False
60.19773242630386,True,False,False,False,False,False
60.337052154195014,False,True,True,False,False,False
60.69696145124716,True,False,True,False,False,False
60.87111111111111,True,False,False,False,False,False
61.01043083900227,False,True,True,False,False,False
61.207800453514736,True,False,False,False,True,False
61.52126984126984,True,False,False,False,False,False
61.68380952380952,False,True,True,False,False,False
62.032108843537415,True,False,True,False,False,False
62.20625850340136,True,False,False,False,False,False
62.33396825396825,False,True,True,False,False,False
62.54294784580499,True,False,False,False,True,False
62.86802721088436,True,False,False,False,False,False
63.03056689342404,False,True,True,False,False,False
63.36725623582767,True,False,False,False,False,False
63.54140589569161,True,False,False,False,False,False
63.68072562358277,False,True,True,False,False,False
